"","seismic","seismoacoustic","shift","genergy","gpuls","gdenergy","gdpuls","ghazard","nbumps","nbumps2","nbumps3","nbumps4","nbumps5","nbumps6","nbumps7","nbumps89","energy","maxenergy","class"
"2037","a","a","W",26280,404,-13,-18,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1112","a","a","W",103380,2701,193,187,"a",1,0,0,0,1,0,0,0,2e+05,2e+05,"0"
"441","b","a","W",28300,569,-41,-20,"a",1,0,1,0,0,0,0,0,8000,8000,"0"
"1275","a","a","W",2880,92,-74,-67,"a",1,0,1,0,0,0,0,0,2000,2000,"0"
"429","b","b","W",47500,668,12,46,"a",8,4,2,2,0,0,0,0,97100,50000,"0"
"757","a","a","W",19570,153,-36,-21,"a",1,1,0,0,0,0,0,0,700,700,"0"
"2278","b","b","N",15210,133,22,-47,"a",1,1,0,0,0,0,0,0,700,700,"0"
"1150","a","b","W",13000,311,-50,-36,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2062","b","a","W",22850,515,-13,-10,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1075","a","a","N",6150,25,97,-38,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2476","b","a","W",9050,436,-10,1,"a",0,0,0,0,0,0,0,0,0,0,"0"
"841","a","a","W",73930,94,-55,-76,"a",1,0,1,0,0,0,0,0,1000,1000,"0"
"1559","b","b","N",32410,1205,252,295,"b",0,0,0,0,0,0,0,0,0,0,"0"
"714","b","a","W",265250,2852,64,84,"a",2,0,1,1,0,0,0,0,23000,20000,"0"
"2524","b","a","W",14050,271,-3,2,"a",1,0,0,0,1,0,0,0,3e+05,3e+05,"0"
"1176","a","b","N",7860,165,-21,-28,"a",0,0,0,0,0,0,0,0,0,0,"0"
"588","a","a","W",21240,138,-50,-52,"a",1,1,0,0,0,0,0,0,700,700,"0"
"2167","b","a","W",71360,827,143,67,"a",2,1,1,0,0,0,0,0,4700,4000,"0"
"2440","a","a","N",1910,46,-84,-80,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2505","a","a","W",27320,414,220,79,"a",1,1,0,0,0,0,0,0,200,200,"0"
"1065","a","a","N",3100,22,4,-45,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2196","a","c","W",52680,985,33,60,"c",1,0,1,0,0,0,0,0,3000,3000,"0"
"919","a","a","N",18410,30,-33,-61,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1372","a","b","W",22640,691,32,60,"a",2,2,0,0,0,0,0,0,400,300,"0"
"919.1","a","a","N",18410,30,-33,-61,"a",0,0,0,0,0,0,0,0,0,0,"0"
"301","b","a","W",383490,1401,-42,-30,"a",1,0,0,1,0,0,0,0,30000,30000,"0"
"426","b","b","W",46810,552,28,47,"a",3,1,1,1,0,0,0,0,27500,20000,"0"
"2128","a","a","W",38530,952,21,81,"a",0,0,0,0,0,0,0,0,0,0,"0"
"920","a","a","N",9490,26,-60,-61,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2406","a","b","W",29160,435,-2,-1,"a",0,0,0,0,0,0,0,0,0,0,"0"
"964","a","a","N",6760,24,-37,-40,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1150.1","a","b","W",13000,311,-50,-36,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1088","a","a","N",1820,55,-34,38,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1144","a","b","W",21860,196,-16,-60,"a",0,0,0,0,0,0,0,0,0,0,"0"
"830","a","b","N",53380,108,-13,-8,"a",3,2,1,0,0,0,0,0,1700,1000,"0"
"2319","b","a","W",32030,350,12,-22,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1739","b","a","W",28510,805,-7,-13,"a",1,0,0,1,0,0,0,0,10000,10000,"0"
"1511","b","a","W",13260,563,-8,36,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2419","b","b","N",11540,285,-8,14,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2557","a","a","W",12140,317,8,38,"a",0,0,0,0,0,0,0,0,0,0,"0"
"294","a","a","N",58200,219,-27,-38,"a",1,0,1,0,0,0,0,0,3000,3000,"0"
"1279","a","a","W",8180,136,-64,-66,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1768","b","a","N",5520,171,-38,-8,"a",0,0,0,0,0,0,0,0,0,0,"0"
"130.1","a","a","W",620720,1789,17,23,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1182","a","b","N",5000,163,-50,-29,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2220","b","c","W",87250,1048,93,51,"b",1,1,0,0,0,0,0,0,500,500,"0"
"1697","b","b","W",31160,623,-6,20,"a",1,1,0,0,0,0,0,0,400,400,"0"
"1683","a","b","W",37110,484,17,-3,"a",1,0,1,0,0,0,0,0,1000,1000,"0"
"444","b","b","W",59380,949,27,30,"a",5,2,2,1,0,0,0,0,26600,20000,"0"
"1072","a","a","N",4290,45,41,12,"a",0,0,0,0,0,0,0,0,0,0,"0"
"100","a","a","W",172120,537,-35,-41,"a",0,0,0,0,0,0,0,0,0,0,"0"
"265","b","a","W",428740,2031,-44,-5,"a",1,0,1,0,0,0,0,0,4000,4000,"0"
"1761","a","a","N",10140,176,12,-5,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2107","a","a","N",12070,296,0,20,"a",1,1,0,0,0,0,0,0,100,100,"0"
"679","a","a","N",26800,94,-18,-49,"a",1,0,1,0,0,0,0,0,3000,3000,"0"
"1894","a","a","W",32620,718,0,17,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1948","a","a","W",7430,196,-70,-61,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1596","a","b","N",14040,408,49,29,"a",0,0,0,0,0,0,0,0,0,0,"0"
"78","a","a","N",24900,159,-57,-29,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2434.1","a","a","N",4580,100,-64,-59,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1941","a","a","N",5440,126,-18,-28,"a",1,1,0,0,0,0,0,0,300,300,"0"
"403","b","a","W",54050,373,-14,-31,"a",3,1,2,0,0,0,0,0,9400,6000,"0"
"1046","a","a","N",2350,19,-4,-52,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1532","b","b","W",72090,1139,338,147,"b",0,0,0,0,0,0,0,0,0,0,"0"
"2565","b","a","W",17200,262,47,14,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1088.1","a","a","N",1820,55,-34,38,"a",0,0,0,0,0,0,0,0,0,0,"0"
"559","b","b","W",109110,417,6,-54,"a",2,2,0,0,0,0,0,0,1300,800,"0"
"1828","a","b","W",29800,627,12,-4,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2418","b","b","W",37950,527,41,22,"a",1,0,1,0,0,0,0,0,8000,8000,"0"
"1763","a","a","N",9030,342,-14,-8,"a",1,0,0,1,0,0,0,0,80000,80000,"0"
"2215","b","c","W",68040,1049,50,51,"b",1,0,1,0,0,0,0,0,4000,4000,"0"
"1216","b","a","W",34020,858,60,38,"a",0,0,0,0,0,0,0,0,0,0,"0"
"776","a","a","W",8380,47,-78,-85,"a",1,0,1,0,0,0,0,0,6000,6000,"0"
"165.1","a","c","W",1124850,2153,37,39,"a",3,1,2,0,0,0,0,0,3900,2000,"0"
"1165","a","b","W",14370,338,-44,-24,"a",1,1,0,0,0,0,0,0,400,400,"0"
"1375","b","b","W",13880,507,-22,11,"a",0,0,0,0,0,0,0,0,0,0,"0"
"791","a","a","W",31040,322,-10,1,"a",5,2,3,0,0,0,0,0,9000,4000,"0"
"2412","b","b","W",42340,515,46,17,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1439","a","b","N",6450,163,-30,-48,"a",0,0,0,0,0,0,0,0,0,0,"0"
"61","a","a","N",44180,203,-10,13,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1482","a","a","N",9920,221,37,36,"a",0,0,0,0,0,0,0,0,0,0,"0"
"830.1","a","b","N",53380,108,-13,-8,"a",3,2,1,0,0,0,0,0,1700,1000,"0"
"467","a","a","W",47370,296,-30,-28,"a",4,2,2,0,0,0,0,0,8800,7000,"0"
"1816","a","b","W",40900,776,43,57,"a",1,1,0,0,0,0,0,0,400,400,"0"
"1835","a","b","W",22830,467,-19,-28,"b",1,1,0,0,0,0,0,0,500,500,"0"
"382","b","a","W",108010,889,-70,-60,"a",4,1,2,1,0,0,0,0,41200,30000,"0"
"2316","a","a","W",21680,368,-24,-21,"a",0,0,0,0,0,0,0,0,0,0,"0"
"437","b","a","N",5500,152,-51,-1,"a",2,1,0,0,0,0,0,0,250,200,"0"
"2388","a","b","W",22260,422,-25,2,"a",0,0,0,0,0,0,0,0,0,0,"0"
"452","a","a","W",56810,285,-35,-27,"a",5,2,3,0,0,0,0,0,6100,2000,"0"
"374","a","a","N",3170,36,-88,-79,"a",0,0,0,0,0,0,0,0,0,0,"0"
"621","b","a","W",40250,451,91,91,"a",4,3,1,0,0,0,0,0,2900,2000,"0"
"1264","a","a","N",6220,76,-26,-65,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1680","a","b","W",44800,350,253,52,"b",0,0,0,0,0,0,0,0,0,0,"0"
"806","a","b","N",6340,18,10,-70,"a",2,1,1,0,0,0,0,0,9300,9000,"0"
"2527","b","a","N",7590,227,-34,1,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1396","b","b","W",13200,199,-18,-15,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1862","b","b","N",3080,123,-70,-66,"b",0,0,0,0,0,0,0,0,0,0,"0"
"1448","a","b","N",9870,363,8,16,"a",1,0,1,0,0,0,0,0,8000,8000,"0"
"599","b","a","W",8610,79,-74,-69,"a",1,0,1,0,0,0,0,0,5000,5000,"0"
"579","a","a","W",40850,340,-16,18,"a",2,2,0,0,0,0,0,0,400,200,"0"
"815","a","a","N",950,4,-40,-90,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1273","a","a","W",10360,131,76,-49,"a",0,0,0,0,0,0,0,0,0,0,"0"
"388","b","a","W",103140,762,-42,-35,"a",3,1,2,0,0,0,0,0,7500,5000,"0"
"2215.1","b","c","W",68040,1049,50,51,"b",1,0,1,0,0,0,0,0,4000,4000,"0"
"673","a","a","W",102710,1159,-11,5,"a",1,1,0,0,0,0,0,0,400,400,"0"
"1170","a","b","N",4500,207,-58,-14,"a",0,0,0,0,0,0,0,0,0,0,"0"
"698","b","b","W",92760,967,-42,-31,"b",5,3,1,1,0,0,0,0,65800,60000,"0"
"959","a","b","N",8110,29,-33,-28,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2388.1","a","b","W",22260,422,-25,2,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1881","a","a","W",75050,675,134,5,"a",3,0,3,0,0,0,0,0,13000,8000,"0"
"1932","a","a","N",3250,127,-47,-20,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1520","b","b","W",41230,487,152,70,"a",1,1,0,0,0,0,0,0,400,400,"0"
"105","a","a","N",13160,46,-71,-76,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1763.1","a","a","N",9030,342,-14,-8,"a",1,0,0,1,0,0,0,0,80000,80000,"0"
"2073","b","a","W",37620,520,8,-6,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1983","a","a","W",30650,424,29,-8,"a",1,0,1,0,0,0,0,0,4000,4000,"0"
"2336","b","a","W",20660,400,-34,-11,"a",1,1,0,0,0,0,0,0,400,400,"0"
"1031","a","a","N",2740,17,0,-58,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1105","a","a","N",3100,184,-72,-47,"a",0,0,0,0,0,0,0,0,0,0,"0"
"996","a","a","N",1600,11,-66,-72,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2368","a","a","W",27780,386,-15,-8,"a",1,0,1,0,0,0,0,0,5000,5000,"0"
"391","b","b","W",176830,1297,54,56,"a",5,2,2,1,0,0,0,0,36200,30000,"0"
"1662","b","b","W",59210,705,73,23,"a",2,0,2,0,0,0,0,0,4000,2000,"0"
"459","a","a","N",6530,38,-72,-92,"a",1,1,0,0,0,0,0,0,100,100,"0"
"1933","a","a","N",3520,107,-42,-32,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2080","a","a","W",42090,794,30,50,"a",2,2,0,0,0,0,0,0,400,200,"0"
"1021","a","a","N",2610,39,5,-2,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1073","a","a","N",2510,17,-16,-58,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2398.1","a","b","W",20580,436,-30,4,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1295","a","a","W",7100,227,-37,-19,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1381","b","b","W",17310,485,-3,6,"a",0,0,0,0,0,0,0,0,0,0,"0"
"920.1","a","a","N",9490,26,-60,-61,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1069","a","a","N",3090,18,5,-55,"a",0,0,0,0,0,0,0,0,0,0,"0"
"840","a","a","W",104210,185,-39,-56,"a",2,2,0,0,0,0,0,0,500,300,"0"
"1784","b","a","W",37340,683,25,38,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1980","b","a","W",47840,594,106,27,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1222","b","a","W",26630,785,25,27,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1034","a","a","N",1920,32,-29,-20,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1082","a","a","N",3180,11,4,-72,"a",0,0,0,0,0,0,0,0,0,0,"0"
"534","b","b","W",45470,573,64,65,"a",8,5,2,1,0,0,0,0,33600,20000,"0"
"2000","b","b","W",33960,593,29,28,"b",1,0,1,0,0,0,0,0,4000,4000,"0"
"561","a","b","W",83570,488,-24,-3,"a",3,2,1,0,0,0,0,0,1800,1000,"0"
"1134","a","a","W",31390,362,39,-26,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1689","a","b","W",28780,1294,-18,26,"a",0,0,0,0,0,0,0,0,0,0,"0"
"930","a","b","N",21730,56,37,18,"a",0,0,0,0,0,0,0,0,0,0,"0"
"111","a","b","W",226790,717,2,0,"a",0,0,0,0,0,0,0,0,0,0,"0"
"827","a","b","N",49410,74,-33,-69,"a",2,0,2,0,0,0,0,0,6000,3000,"0"
"1617","b","a","W",27900,1158,-25,11,"a",0,0,0,0,0,0,0,0,0,0,"0"
"204","b","b","W",2129020,3722,161,91,"b",2,1,0,1,0,0,0,0,20600,20000,"0"
"191","a","b","W",541040,1295,-26,-19,"b",4,3,1,0,0,0,0,0,4200,3000,"0"
"2450","a","a","W",4150,262,-64,-49,"a",0,0,0,0,0,0,0,0,0,0,"0"
"886","a","a","W",101040,213,11,11,"a",2,1,1,0,0,0,0,0,1700,1000,"0"
"737","a","a","W",159910,2345,12,23,"a",3,1,2,0,0,0,0,0,4400,3000,"0"
"243","a","a","W",1661100,1772,52,32,"a",1,0,1,0,0,0,0,0,9000,9000,"0"
"968","a","b","N",20020,49,88,22,"b",0,0,0,0,0,0,0,0,0,0,"0"
"2497","a","a","N",5130,115,-55,-49,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1414","a","b","W",32670,476,103,95,"a",1,1,0,0,0,0,0,0,800,800,"0"
"1945","a","a","N",6130,129,-27,-50,"a",0,0,0,0,0,0,0,0,0,0,"0"
"740","a","a","W",27830,190,-79,-90,"a",4,0,4,0,0,0,0,0,19000,8000,"0"
"1599","a","a","N",8390,33,262,-65,"a",0,0,0,0,0,0,0,0,0,0,"0"
"54","a","b","N",45150,140,24,-4,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2118","a","a","N",7660,221,-32,-9,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1768.1","b","a","N",5520,171,-38,-8,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2347","b","a","W",17170,356,-46,-19,"a",1,1,0,0,0,0,0,0,500,500,"0"
"1834","a","b","W",25490,546,-18,2,"a",0,0,0,0,0,0,0,0,0,0,"0"
"140","a","a","N",114540,488,-23,0,"a",2,0,2,0,0,0,0,0,8000,5000,"0"
"1091","a","a","N",4200,74,54,85,"a",0,0,0,0,0,0,0,0,0,0,"0"
"593","b","a","W",16450,141,-47,-40,"a",3,2,1,0,0,0,0,0,3800,3000,"0"
"825","a","b","W",239660,501,60,3,"a",1,0,1,0,0,0,0,0,8000,8000,"0"
"2029","b","b","W",38590,716,32,47,"a",0,0,0,0,0,0,0,0,0,0,"0"
"602","a","a","N",5640,58,6,17,"a",1,0,1,0,0,0,0,0,5000,5000,"0"
"879","a","a","N",21900,60,-5,25,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2520","b","a","N",6940,186,-39,-17,"a",1,0,1,0,0,0,0,0,2000,2000,"0"
"1741","b","a","N",18840,434,126,158,"a",1,0,0,0,1,0,0,0,3e+05,3e+05,"0"
"1044","a","a","N",780,6,-70,-85,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1752","a","a","N",11020,589,10,69,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1294","a","a","N",12470,124,61,-38,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1382","b","b","W",17730,568,-1,24,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1434","a","a","N",5840,102,-17,-39,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2500","a","a","W",13070,282,-11,-12,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1105.1","a","a","N",3100,184,-72,-47,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1336","a","b","W",28920,659,114,96,"b",0,0,0,0,0,0,0,0,0,0,"0"
"2564","b","a","W",6920,158,-41,-32,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1208","b","a","W",87260,2457,275,258,"a",1,0,0,1,0,0,0,0,80000,80000,"0"
"1317","a","b","W",20720,284,13,-11,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1909","a","a","W",36860,681,0,12,"a",1,0,1,0,0,0,0,0,3000,3000,"0"
"385","b","a","W",110510,708,-58,-58,"a",4,2,1,1,0,0,0,0,44200,40000,"0"
"1443","a","b","W",6340,102,-62,-60,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1637","b","b","W",28150,1047,-31,-9,"a",0,0,0,0,0,0,0,0,0,0,"0"
"125.1","a","a","W",715390,1923,36,36,"a",1,1,0,0,0,0,0,0,300,300,"0"
"2242","b","a","W",28900,692,0,-13,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1319","a","b","W",6360,274,-51,-16,"b",0,0,0,0,0,0,0,0,0,0,"0"
"447","b","b","W",93190,439,82,-53,"a",4,1,2,1,0,0,0,0,81400,70000,"0"
"295","a","a","N",53320,203,-31,-39,"a",1,0,1,0,0,0,0,0,4000,4000,"0"
"2466","b","a","W",16220,753,50,61,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1525","b","b","W",23790,589,56,34,"b",0,0,0,0,0,0,0,0,0,0,"0"
"1599.1","a","a","N",8390,33,262,-65,"a",0,0,0,0,0,0,0,0,0,0,"0"
"806.1","a","b","N",6340,18,10,-70,"a",2,1,1,0,0,0,0,0,9300,9000,"0"
"1152","a","b","N",14390,329,34,36,"a",0,0,0,0,0,0,0,0,0,0,"0"
"48","a","b","N",64200,198,86,35,"a",1,1,0,0,0,0,0,0,500,500,"0"
"2101","a","a","N",5310,287,-58,15,"a",0,0,0,0,0,0,0,0,0,0,"0"
"859","a","b","N",19120,36,-24,-20,"a",0,0,0,0,0,0,0,0,0,0,"0"
"198","a","a","W",1256570,3289,86,88,"a",3,2,1,0,0,0,0,0,6200,5000,"0"
"1192","a","b","W",28210,618,15,47,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2413","b","b","W",21950,375,-24,-15,"a",1,0,1,0,0,0,0,0,2000,2000,"0"
"2337","b","a","W",30140,426,-4,-5,"a",4,1,3,0,0,0,0,0,11900,6000,"0"
"785","a","b","W",23050,202,-33,-32,"b",4,2,2,0,0,0,0,0,5100,3000,"0"
"1874","a","b","W",22820,311,-25,-51,"a",0,0,0,0,0,0,0,0,0,0,"0"
"540","a","a","N",4190,43,-58,-49,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1960","b","a","W",25090,383,78,30,"a",0,0,0,0,0,0,0,0,0,0,"0"
"839","a","a","N",38800,38,17,-45,"a",2,1,1,0,0,0,0,0,1700,1000,"0"
"1752.1","a","a","N",11020,589,10,69,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1358","a","b","W",9410,383,-37,2,"b",0,0,0,0,0,0,0,0,0,0,"0"
"15","a","a","N",75670,207,18,4,"a",1,1,0,0,0,0,0,0,600,600,"0"
"496","b","a","W",24490,237,-51,-42,"a",3,3,0,0,0,0,0,0,1000,500,"0"
"1592","a","b","N",11230,383,19,22,"a",0,0,0,0,0,0,0,0,0,0,"0"
"16","a","b","W",225040,575,-3,5,"a",2,0,2,0,0,0,0,0,7000,6000,"0"
"2045","a","a","W",21040,402,-38,-25,"a",1,1,0,0,0,0,0,0,300,300,"0"
"1470","a","b","W",17000,336,1,28,"a",0,0,0,0,0,0,0,0,0,0,"0"
"191.1","a","b","W",541040,1295,-26,-19,"b",4,3,1,0,0,0,0,0,4200,3000,"0"
"2095","a","a","N",6860,282,-45,13,"a",0,0,0,0,0,0,0,0,0,0,"0"
"684","a","b","W",190960,1651,58,45,"a",2,0,2,0,0,0,0,0,11000,9000,"0"
"1126","b","a","W",27020,294,334,-5,"b",0,0,0,0,0,0,0,0,0,0,"0"
"230","a","a","W",1345240,3510,-17,16,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1720","b","b","N",19200,418,131,149,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1676","a","b","W",40610,672,22,25,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2026","b","b","W",34620,661,18,36,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1285","a","a","W",17710,191,-22,-52,"a",0,0,0,0,0,0,0,0,0,0,"0"
"483","a","a","W",55530,438,-8,18,"a",1,0,1,0,0,0,0,0,2000,2000,"0"
"2208","a","c","W",52510,917,23,39,"b",1,0,1,0,0,0,0,0,4000,4000,"0"
"2474","b","a","W",9940,142,-56,-62,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1157","a","b","W",22990,395,-8,-12,"a",0,0,0,0,0,0,0,0,0,0,"0"
"592","b","a","W",31770,231,2,-3,"a",3,1,2,0,0,0,0,0,10400,8000,"0"
"1940","a","a","N",1350,112,-80,-36,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1378","b","b","W",21300,710,19,55,"a",1,0,1,0,0,0,0,0,2000,2000,"0"
"869","a","a","N",39890,66,69,39,"a",1,1,0,0,0,0,0,0,400,400,"0"
"2497.1","a","a","N",5130,115,-55,-49,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1598","a","b","N",8190,325,-13,3,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1560","b","b","N",21540,862,134,182,"b",2,1,1,0,0,0,0,0,4200,4000,"0"
"238","a","b","N",315650,645,-33,-9,"a",1,0,1,0,0,0,0,0,5000,5000,"0"
"1301","a","a","W",24100,197,16,-45,"a",0,0,0,0,0,0,0,0,0,0,"0"
"235","a","a","W",1531530,1680,52,18,"a",2,0,2,0,0,0,0,0,5000,3000,"0"
"355","b","a","N",136810,746,-41,-47,"a",1,0,0,1,0,0,0,0,40000,40000,"0"
"860","a","b","N",12120,24,-54,-49,"a",1,1,0,0,0,0,0,0,300,300,"0"
"334","a","a","N",42560,379,-73,-57,"a",1,0,1,0,0,0,0,0,4000,4000,"0"
"1679","a","b","W",12600,266,-60,-47,"a",0,0,0,0,0,0,0,0,0,0,"0"
"823","a","a","W",145440,358,-3,-28,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2244","b","a","W",81480,1112,182,40,"a",1,1,0,0,0,0,0,0,300,300,"0"
"921","a","a","N",6370,34,-68,-39,"a",0,0,0,0,0,0,0,0,0,0,"0"
"605","a","a","N",3040,63,-43,26,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2464","b","a","W",15650,664,45,42,"a",1,1,0,0,0,0,0,0,800,800,"0"
"799","a","a","W",19630,295,-40,-11,"a",3,2,1,0,0,0,0,0,8300,7000,"0"
"810","a","a","N",1070,17,-73,-65,"a",0,0,0,0,0,0,0,0,0,0,"0"
"831","a","b","W",179710,274,5,-42,"a",4,3,1,0,0,0,0,0,3000,2000,"0"
"346","b","a","W",430310,1955,92,37,"a",2,1,1,0,0,0,0,0,1200,1000,"0"
"2200","a","c","W",63410,767,57,21,"c",1,1,0,0,0,0,0,0,600,600,"0"
"1987","a","a","W",48390,532,104,16,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1943","a","a","N",2960,108,-76,-57,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1484","a","a","N",11800,185,63,14,"a",0,0,0,0,0,0,0,0,0,0,"0"
"844","a","b","W",121520,247,-25,-26,"a",1,1,0,0,0,0,0,0,400,400,"0"
"1439.1","a","b","N",6450,163,-30,-48,"a",0,0,0,0,0,0,0,0,0,0,"0"
"1053","a","a","N",1190,9,-45,-78,"a",0,0,0,0,0,0,0,0,0,0,"0"
"2417","b","b","W",24950,344,-7,-21,"a",1,1,0,0,0,0,0,0,300,300,"0"
